Айді громади,Назва громади,[41031200] На забезпечення нагальних потреб функціонування держави в умовах воєнного стану,[41034700] На ліквідацію наслідків збройної агресії,[41036100] На житло для сімей ветеранів війни та інвалідів внаслідок війни,[41037800] На розвиток ветеранських просторів,[41035800] На діяльність фахівців із супроводу ветеранів війни,[41033900] Освітня субвенція (зарплати),[41032800] Облаштування безпечних умов (укриттів) у школах,[41033800] Майстерні профтехів,[41033000] Підтримка окремих закладів у системі охорони здоров'я,"[41037500] Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я
1252700000,Станично-Луганська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1252800000,Старобільська,0.0,0.0,0.0,0.0,0.0,13393900.0,0.0,0.0,0.0,0.0,0.0,13393900.0,0.0
1252600000,Сіверськодонецька,0.0,0.0,0.0,0.0,0.0,119299300.0,0.0,0.0,0.0,0.0,0.0,119299300.0,0.0
1250400000,Троїцька,0.0,0.0,0.0,0.0,0.0,12356100.0,0.0,0.0,0.0,0.0,0.0,12356100.0,0.0
1254100000,Хрустальненська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250300000,Чмирівська,0.0,0.0,0.0,0.0,0.0,14435900.0,0.0,0.0,0.0,0.0,0.0,14435900.0,0.0
1253900000,Широківська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1251000000,Шульгинська,0.0,0.0,0.0,0.0,0.0,14549500.0,0.0,0.0,0.0,0.0,0.0,14549500.0,0.0
1253000000,Щастинська,0.0,0.0,0.0,0.0,0.0,3608400.0,0.0,0.0,0.0,0.0,0.0,3608400.0,0.0
1355800000,Івано-Франківська,0.0,0.0,0.0,0.0,0.0,77965200.0,0.0,0.0,0.0,0.0,0.0,77965200.0,0.0
1354200000,Белзька,0.0,0.0,0.0,0.0,0.0,41753700.0,0.0,0.0,0.0,0.0,0.0,41753700.0,0.0
1354300000,Боринська,0.0,0.0,0.0,0.0,0.0,100656200.0,0.0,0.0,0.0,0.0,0.0,100656200.0,0.0
1354400000,Бориславська,0.0,0.0,0.0,0.0,0.0,99416500.0,0.0,0.0,0.0,0.0,0.0,99416500.0,0.0
1354500000,Бродівська,0.0,0.0,0.0,0.0,0.0,121690800.0,0.0,0.0,0.0,0.0,0.0,121690800.0,0.0
1354600000,Буська,0.0,0.0,0.0,0.0,0.0,111856700.0,0.0,0.0,0.0,0.0,0.0,111856700.0,0.0
1353600000,Бібрська,0.0,0.0,0.0,0.0,0.0,58075300.0,0.0,0.0,0.0,0.0,0.0,58075300.0,0.0
1350200000,Бісковицька,0.0,0.0,0.0,0.0,0.0,66516100.0,0.0,0.0,0.0,0.0,0.0,66516100.0,0.0
1352300000,Великолюбінська,0.0,0.0,0.0,0.0,0.0,27335100.0,0.0,0.0,0.0,0.0,0.0,27335100.0,0.0
1353200000,Великомостівська,0.0,0.0,0.0,0.0,0.0,59502800.0,0.0,0.0,0.0,0.0,0.0,59502800.0,0.0
1354700000,Глинянська,0.0,0.0,0.0,0.0,0.0,31036300.0,0.0,0.0,0.0,0.0,0.0,31036300.0,0.0
1350500000,Гніздичівська,0.0,0.0,0.0,0.0,0.0,19599100.0,0.0,0.0,0.0,0.0,0.0,19599100.0,0.0
1354900000,Грабовецько-Дулібівська,0.0,0.0,0.0,0.0,0.0,38541200.0,0.0,0.0,0.0,0.0,0.0,38541200.0,0.0
1352000000,Давидівська,0.0,0.0,0.0,0.0,0.0,65734580.0,0.0,0.0,0.0,0.0,0.0,65734580.0,0.0
1355000000,Добромильська,0.0,0.0,0.0,0.0,0.0,45944600.0,0.0,0.0,0.0,0.0,0.0,45944600.0,0.0
1355100000,Добросинсько-Магерівська,0.0,0.0,0.0,0.0,0.0,60224900.0,0.0,0.0,0.0,0.0,0.0,60224900.0,0.0
1355200000,Добротвірська,0.0,0.0,0.0,0.0,0.0,30455800.0,0.0,0.0,0.0,0.0,0.0,30455800.0,0.0
1355300000,Дрогобицька,0.0,0.0,0.0,0.0,0.0,262616600.0,0.0,0.0,0.0,0.0,0.0,262616600.0,0.0
1355400000,Жидачівська,0.0,0.0,0.0,0.0,0.0,51722500.0,0.0,0.0,0.0,0.0,0.0,51722500.0,0.0
1355500000,Жовківська,0.0,0.0,0.0,0.0,0.0,132141200.0,0.0,0.0,0.0,0.0,0.0,132141200.0,0.0
1352100000,Жовтанецька,0.0,0.0,0.0,0.0,0.0,48999200.0,0.0,0.0,0.0,0.0,0.0,48999200.0,0.0
1355600000,Журавненська,0.0,0.0,0.0,0.0,0.0,33981500.0,0.0,0.0,0.0,0.0,0.0,33981500.0,0.0
1350800000,Заболотцівська,0.0,0.0,0.0,0.0,0.0,23068400.0,0.0,0.0,0.0,0.0,0.0,23068400.0,0.0
1353700000,Зимноводівська,0.0,0.0,0.0,0.0,0.0,70253100.0,0.0,0.0,0.0,0.0,0.0,70253100.0,0.0
1355700000,Золочівська,0.0,0.0,0.0,0.0,0.0,146514185.0,0.0,0.0,0.0,0.0,0.0,146514185.0,0.0
1353400000,Кам'янка-Бузька,0.0,0.0,0.0,0.0,0.0,65490400.0,0.0,0.0,0.0,0.0,0.0,65490400.0,0.0
1355900000,Козівська,0.0,0.0,0.0,0.0,0.0,60264000.0,0.0,0.0,0.0,0.0,0.0,60264000.0,0.0
