Айді громади,Назва громади,[41010100] Реверсна дотація,[41020100] Базова дотація,[41020200] На здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я,"[41020300] На функціонування територій, на яких ведуться бойові дії",[41020400] Додаткові дотації з державного бюджету місцевим бюджетам (загальна),[41020600] [Назву стерто] Додаткова дотація (виключена наприкінці 2024 року),[41020800] Бюджету Славутицької міської територіальної громади на утримання соціальної інфраструктури,[41021000] На компенсацію втрат доходів внаслідок пільг суб’єктам космічної діяльності,[41021200] Обласним бюджетам Донецької та Луганської областей на усунення наслідків ескалації,"[41021300] На компенсацію комунальним закладам, переданим на фінансування з місцевих бюджетів",[41021400] На здійснення повноважень органів самоврядування на деокупованих та інших територіях,Сума Базова,Сума Реверсна,Сума Додаткові
2350200000,Єрківська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2351900000,Іваньківська,0.0,2629800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2629800.0,0.0,0.0
2352200000,Іркліївська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1248200.0,0.0,0.0,1248200.0
2355800000,Бабанська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1312700.0,0.0,0.0,1312700.0
2356000000,Багачевська,0.0,27548300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671700.0,27548300.0,0.0,671700.0
2352700000,Балаклеївська,0.0,2449700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2810600.0,2449700.0,0.0,2810600.0
2355600000,Баштечківська,0.0,1208900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636500.0,1208900.0,0.0,636500.0
2352900000,Березняківська,0.0,6870300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,6870300.0,0.0,55000.0
2353000000,Бобрицька,0.0,1972200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,829300.0,1972200.0,0.0,829300.0
2355900000,Будищенська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2353100000,Бужанська,0.0,477700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197400.0,477700.0,0.0,1197400.0
2352600000,Буцька,0.0,1517900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1517900.0,0.0,0.0
2350100000,Білозірська,0.0,5842000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666900.0,5842000.0,0.0,666900.0
2353200000,Великохутірська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2355700000,Виноградська,0.0,1066400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1562300.0,1066400.0,0.0,1562300.0
2353400000,Водяницька,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2356100000,Вознесенська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2353300000,Вільшанська,0.0,9031200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9031200.0,0.0,0.0
2356200000,Гельмязівська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2356300000,Городищенська,0.0,14677300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3011100.0,14677300.0,0.0,3011100.0
2353500000,Дмитрушківська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2355500000,Драбівська,0.0,4586400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103000.0,4586400.0,0.0,103000.0
