Айді громади,Назва громади,[41010100] Реверсна дотація,[41020100] Базова дотація,[41020200] На здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я,"[41020300] На функціонування територій, на яких ведуться бойові дії",[41020400] Додаткові дотації з державного бюджету місцевим бюджетам (загальна),[41020600] [Назву стерто] Додаткова дотація (виключена наприкінці 2024 року),[41020800] Бюджету Славутицької міської територіальної громади на утримання соціальної інфраструктури,[41021000] На компенсацію втрат доходів внаслідок пільг суб’єктам космічної діяльності,[41021100] [Назву стерто] Додаткова дотація (виключена наприкінці 2023 року),[41021200] Обласним бюджетам Донецької та Луганської областей на усунення наслідків ескалації,"[41021300] На компенсацію комунальним закладам, переданим на фінансування з місцевих бюджетів",[41021400] На здійснення повноважень органів самоврядування на деокупованих та інших територіях,Сума Базова,Сума Реверсна,Сума Додаткові
0352400000,Цуманська,0.0,24317200.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,24317200.0,0.0,0.0
0350700000,Шацька,0.0,15754800.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,15754800.0,0.0,0.0
0753800000,Івановецька,0.0,12871400.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12871400.0,0.0,0.0
0750400000,Іршавська,0.0,35481400.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,35481400.0,0.0,0.0
0750600000,Баранинська,0.0,9182400.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9182400.0,0.0,0.0
0751800000,Батівська,0.0,18735000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,18735000.0,0.0,0.0
0751900000,Бедевлянська,0.0,12224400.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12224400.0,0.0,0.0
0751700000,Берегівська,0.0,21337800.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,21337800.0,0.0,0.0
0752100000,Богданська,0.0,16401500.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16401500.0,0.0,0.0
0752200000,Буштинська,0.0,49338200.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,49338200.0,0.0,0.0
0752000000,Білківська,0.0,37875500.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,37875500.0,0.0,0.0
0750800000,Великоберезнянська,0.0,773000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,773000.0,0.0,0.0
0752300000,Великоберезька,0.0,9833400.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9833400.0,0.0,0.0
0752400000,Великобийганська,0.0,10619000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10619000.0,0.0,0.0
0752500000,Великобичківська,0.0,48089700.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,173922.0,0.0,48089700.0,0.0,173922.0
0752600000,Великодобронська,0.0,21120600.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,21120600.0,0.0,0.0
0752700000,Великолучківська,0.0,34676700.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,34676700.0,0.0,0.0
0752800000,Верхньокоропецька,0.0,11232500.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11232500.0,0.0,0.0
0752900000,Вилоцька,0.0,25388900.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,25388900.0,0.0,0.0
0753000000,Виноградівська,0.0,31991200.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,31991200.0,0.0,0.0
0753100000,Вишківська,0.0,29833600.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,29833600.0,0.0,0.0
0753200000,Воловецька,0.0,1262300.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1262300.0,0.0,0.0
0750100000,Вільховецька,0.0,22825700.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,22825700.0,0.0,0.0
0750900000,Горондівська,0.0,16955200.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16955200.0,0.0,0.0
0753300000,Горінчівська,0.0,23153200.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,23153200.0,0.0,0.0
0751000000,Довжанська,0.0,31628300.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,31628300.0,0.0,0.0
0753400000,Драгівська,0.0,25901500.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,25901500.0,0.0,0.0
0753600000,Дубриницько-Малоберезнянська,0.0,10130200.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10130200.0,0.0,0.0
0753500000,Дубівська,0.0,33954400.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,33954400.0,0.0,0.0
0753700000,Жденіївська,0.0,7760300.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7760300.0,0.0,0.0
0751100000,Зарічанська,0.0,12266700.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12266700.0,0.0,0.0
0751300000,Керецьківська,0.0,30348100.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,30348100.0,0.0,0.0
0753900000,Колочавська,0.0,16249900.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16249900.0,0.0,0.0
0754000000,Кольчинська,0.0,6786500.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6786500.0,0.0,0.0
0754100000,Королівська,0.0,43338100.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,43338100.0,0.0,0.0
0751400000,Косоньська,0.0,4977800.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4977800.0,0.0,0.0
0754200000,Костринська,0.0,9332100.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9332100.0,0.0,0.0
0750700000,Мукачівська,18590300.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,18590300.0,0.0
0754300000,Міжгірська,0.0,25265600.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,25265600.0,0.0,0.0
0754400000,Неліпинська,0.0,1852600.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1852600.0,0.0,0.0
0754500000,Нересницька,0.0,57958200.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,57958200.0,0.0,0.0
0754600000,Нижньоворітська,0.0,17934900.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,17934900.0,0.0,0.0
0751500000,Оноківська,1369000.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1369000.0,0.0
