Айді громади,Назва громади,[41031200] На забезпечення нагальних потреб функціонування держави в умовах воєнного стану,[41034700] На ліквідацію наслідків збройної агресії,[41036100] На житло для сімей ветеранів війни та інвалідів внаслідок війни,"[41036800] Проект ""Ремонт житла для відновлення (HOPE)""",[41033900] Освітня субвенція (зарплати),"[41036000] ""Нова українська школа""",[41032800] Облаштування безпечних умов (укриттів) у школах,[41031900] Шкільні автобуси,[41033300] Забезпечення харчуванням учнів,[41033000] Підтримка окремих закладів у системі охорони здоров'я,"[41037500] Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",[41036500] Облаштування безпечних умов (укриттів) у закладах охорони здоров'я,Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я
0353900000,Городищенська,0.0,0.0,0.0,0.0,34116000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34116000.0,0.0
0355700000,Горохівська,0.0,0.0,0.0,0.0,96512000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96512000.0,0.0
0355300000,Доросинівська,0.0,0.0,0.0,0.0,23773000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23773000.0,0.0
0353300000,Дубечненська,0.0,0.0,0.0,0.0,48137700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48137700.0,0.0
0353600000,Дубівська,0.0,0.0,0.0,0.0,16614000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16614000.0,0.0
0350800000,Заболоттівська,0.0,0.0,0.0,0.0,34976100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34976100.0,0.0
0351900000,Забродівська,0.0,0.0,0.0,0.0,51712100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51712100.0,0.0
0354000000,Затурцівська,0.0,0.0,0.0,0.0,35243500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35243500.0,0.0
0350300000,Зимнівська,0.0,0.0,0.0,0.0,37531000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37531000.0,0.0
0355800000,Камінь-Каширська,0.0,0.0,0.0,0.0,275855700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275855700.0,0.0
0355900000,Ковельська,0.0,0.0,0.0,0.0,206077500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206077500.0,0.0
0353000000,Колківська,0.0,0.0,0.0,0.0,101672200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101672200.0,0.0
0351600000,Колодяжненська,0.0,0.0,0.0,0.0,43949500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43949500.0,0.0
0353200000,Копачівська,0.0,0.0,0.0,0.0,24856200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24856200.0,0.0
0354500000,Ківерцівська,0.0,0.0,0.0,0.0,98669200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98669200.0,0.0
0351100000,Литовезька,0.0,0.0,0.0,0.0,12581100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12581100.0,0.0
0356000000,Локачинська,0.0,0.0,0.0,0.0,52164400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52164400.0,0.0
