Айді громади,Назва громади,[41031200] На забезпечення нагальних потреб функціонування держави в умовах воєнного стану,[41034700] На ліквідацію наслідків збройної агресії,[41036100] На житло для сімей ветеранів війни та інвалідів внаслідок війни,[41037800] На розвиток ветеранських просторів,[41035800] На діяльність фахівців із супроводу ветеранів війни,[41038800] Програма відновлення України III,[41033900] Освітня субвенція (зарплати),"[41036000] ""Нова українська школа""",[41032800] Облаштування безпечних умов (укриттів) у школах,[41037900] Шкільні автобуси (разова програма за рахунок залишків),[41037400] Покращення якості гарячого харчування,[41031100] Забезпечення харчуванням учнів (нові коди),"[41038000] Для підтримки закладів освіти, які постраждали внаслідок агресії",[41033000] Підтримка окремих закладів у системі охорони здоров'я,"[41037500] Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я
2353900000,Лип'янська,0.0,0.0,0.0,0.0,0,0.0,9427300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9427300.0,0.0
2354000000,Лисянська,0.0,0.0,0.0,0.0,0,0.0,38459000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38459000.0,0.0
2351600000,Ліплявська,0.0,0.0,0.0,0.0,0,0.0,13880500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13880500.0,0.0
2356800000,Маньківська,0.0,0.0,0.0,0.0,0,0.0,53241100.0,0.0,9545351.0,0.0,189800.0,0.0,0.0,0.0,0.0,0.0,62976251.0,0.0
2352300000,Матусівська,0.0,0.0,0.0,0.0,0,0.0,8907200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8907200.0,0.0
2354200000,Медведівська,0.0,0.0,0.0,0.0,0,0.0,12023900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12023900.0,0.0
2352500000,Михайлівська,0.0,0.0,0.0,0.0,0,0.0,21396400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21396400.0,0.0
2351100000,Мліївська,0.0,0.0,0.0,0.0,0,0.0,16590400.0,0.0,0.0,0.0,36900.0,0.0,0.0,0.0,0.0,0.0,16627300.0,0.0
2350300000,Мокрокалигірська,0.0,0.0,0.0,0.0,0,0.0,13127600.0,0.0,0.0,0.0,70700.0,0.0,0.0,0.0,0.0,0.0,13198300.0,0.0
2356900000,Монастирищенська,0.0,0.0,0.0,0.0,0,0.0,96842600.0,0.0,0.0,0.0,422100.0,0.0,0.0,0.0,0.0,0.0,97264700.0,0.0
