Айді громади,Назва громади,[41031200] На забезпечення нагальних потреб функціонування держави в умовах воєнного стану,[41034700] На ліквідацію наслідків збройної агресії,[41036100] На житло для сімей ветеранів війни та інвалідів внаслідок війни,[41033900] Освітня субвенція (зарплати),"[41036000] ""Нова українська школа""",[41032800] Облаштування безпечних умов (укриттів) у школах,[41033000] Підтримка окремих закладів у системі охорони здоров'я,"[41037500] Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я
0952800000,Коршівська,0.0,0.0,0.0,22654400.0,0.0,0.0,0.0,0.0,0.0,22654400.0,0.0
0950800000,Космацька,0.0,0.0,0.0,40492100.0,0.0,0.0,0.0,0.0,0.0,40492100.0,0.0
0954900000,Косівська,0.0,0.0,0.0,109149500.0,0.0,0.0,0.0,0.0,0.0,109149500.0,0.0
0955000000,Кутська,0.0,0.0,0.0,41843200.0,0.0,0.0,0.0,0.0,0.0,41843200.0,0.0
0951700000,Ланчинська,0.0,0.0,0.0,27798400.0,0.0,0.0,0.0,0.0,0.0,27798400.0,0.0
0955100000,Лисецька,0.0,0.0,0.0,20132200.0,0.0,0.0,0.0,0.0,0.0,20132200.0,0.0
0950900000,Матеївецька,0.0,0.0,0.0,24494000.0,0.0,0.0,0.0,0.0,0.0,24494000.0,0.0
0955200000,Надвірнянська,0.0,0.0,0.0,140978300.0,0.0,0.0,0.0,0.0,0.0,140978300.0,0.0
0951000000,Нижньовербізька,0.0,0.0,0.0,34693800.0,0.0,0.0,0.0,0.0,0.0,34693800.0,0.0
0952900000,Новицька,0.0,0.0,0.0,36535700.0,0.0,0.0,0.0,0.0,0.0,36535700.0,0.0
0955300000,Обертинська,0.0,0.0,0.0,21260300.0,0.0,0.0,0.0,0.0,0.0,21260300.0,0.0
0951200000,Олешанська,0.0,0.0,0.0,33379400.0,0.0,0.0,0.0,0.0,0.0,33379400.0,0.0
0955400000,Отинійська,0.0,0.0,0.0,51815600.0,0.0,0.0,0.0,0.0,0.0,51815600.0,0.0
0951100000,П'ядицька,0.0,0.0,0.0,29604100.0,0.0,0.0,0.0,0.0,0.0,29604100.0,0.0
0953800000,Пасічнянська,0.0,0.0,0.0,75986900.0,0.0,0.0,0.0,0.0,0.0,75986900.0,0.0
0955500000,Перегінська,0.0,0.0,0.0,87966800.0,0.0,0.0,0.0,0.0,0.0,87966800.0,0.0
0951600000,Переріслянська,0.0,0.0,0.0,27217200.0,0.0,0.0,0.0,0.0,0.0,27217200.0,0.0
0950200000,Печеніжинська,0.0,0.0,0.0,56805800.0,0.0,0.0,0.0,0.0,0.0,56805800.0,0.0
0955600000,Поляницька,0.0,0.0,0.0,29632500.0,0.0,0.0,0.0,0.0,0.0,29632500.0,0.0
0953900000,Підгайчиківська,0.0,0.0,0.0,14856500.0,0.0,0.0,0.0,0.0,0.0,14856500.0,0.0
0955700000,Рогатинська,0.0,0.0,0.0,78008200.0,0.0,0.0,0.0,0.0,0.0,78008200.0,0.0
0955800000,Рожнятівська,0.0,0.0,0.0,59762300.0,0.0,0.0,0.0,0.0,0.0,59762300.0,0.0
0951400000,Рожнівська,0.0,0.0,0.0,35898900.0,0.0,0.0,0.0,0.0,0.0,35898900.0,0.0
0955900000,Снятинська,0.0,0.0,0.0,116301900.0,0.0,0.0,0.0,0.0,0.0,116301900.0,0.0
0956000000,Солотвинська,0.0,0.0,0.0,104458900.0,0.0,0.0,0.0,0.0,0.0,104458900.0,0.0
0952300000,Спаська,0.0,0.0,0.0,25184900.0,0.0,0.0,0.0,0.0,0.0,25184900.0,0.0
0950300000,Старобогородчанська,0.0,0.0,0.0,13866300.0,0.0,0.0,0.0,0.0,0.0,13866300.0,0.0
0956100000,Тисменицька,0.0,0.0,0.0,70895600.0,0.0,0.0,0.0,0.0,0.0,70895600.0,0.0
0950500000,Тлумацька,0.0,0.0,0.0,74950100.0,0.0,0.0,0.0,0.0,0.0,74950100.0,0.0
