Код,Найменування,Група
41059500,|Субвенція з місцевого бюджету на облаштування безпечних умов у закладах охорони здоров'я за рахунок відповідної субвенції з державного бюджету|,Медицина
41030300,"|Субвенція з державного бюджету місцевим бюджетам на відновлення роботи комунальних закладів освіти, що пошкоджені/знищені внаслідок бойових дій|",Освіта
41031100,|Субвенція з державного бюджету місцевим бюджетам на забезпечення харчуванням учнів закладів загальної середньої освіти|,Освіта
41031900,|Субвенція з державного бюджету місцевим бюджетам на реалізацію публічного інвестиційного проекту на безперешкодний доступ до якісної освіти - шкільні автобуси|,Освіта
41032200,"|Субвенція з державного бюджету місцевим бюджетам на реалізацію публічного інвестиційного проекту на модернізацію та оновлення матеріально-технічної бази військових (військово-морських, військово-спортивних) ліцеїв, закладів освіти з посиленою військово-фізичною підготовкою|",Освіта
41032800,"|Субвенція з державного бюджету місцевим бюджетам на реалізацію публічного інвестиційного проекту на облаштування безпечних умов (облаштування укриттів) у закладах, що надають загальну середню освіту, зокрема військових (військово-морських, військово-спортивних) ліцеях, ліцеях із посиленою військово-фізичною підготовкою, та у закладах дошкільної освіти|",Освіта
41033300,|Субвенція з державного бюджету місцевим бюджетам на забезпечення харчуванням учнів початкових класів закладів загальної середньої освіти|,Освіта
41033500,"|Субвенція з державного бюджету місцевим бюджетам на реалізацію публічного інвестиційного проекту на придбання обладнання, створення та модернізацію (проведення реконструкції та капітального ремонту) їдалень (харчоблоків) закладів освіти, зокрема військових (військово-морських, військово-спортивних) ліцеїв, ліцеїв із посиленою військово-фізичною підготовкою|",Освіта
41033600,"|Субвенція з державного бюджету місцевим бюджетам на реалізацію публічного інвестиційного проекту на облаштування безпечних умов у закладах, що надають загальну середню освіту (протипожежний захист), зокрема військових (військово-морських, військово-спортивних) ліцеях, ліцеях із посиленою військово-фізичною підготовкою|",Освіта
41033800,"|Субвенція з державного бюджету місцевим бюджетам на реалізацію публічного інвестиційного проекту на модернізацію майстерень і лабораторій закладів професійної та фахової передвищої освіти, забезпечення енергоефективності, безпеки та інклюзивності освітнього простору|",Освіта
41033900,|Освітня субвенція з державного бюджету місцевим бюджетам |,Освіта
41034200,|Субвенція з державного бюджету місцевим бюджетам на задоволення потреб у забезпеченні безпечного освітнього середовища|,Освіта
41035400,|Субвенція з державного бюджету місцевим бюджетам на надання державної підтримки особам з особливими освітніми потребами|,Освіта
41036000,"|Субвенція з державного бюджету місцевим бюджетам на реалізацію публічного інвестиційного проекту на забезпечення якісної, сучасної та доступної загальної середньої освіти ""Нова українська школа""|",Освіта
41036300,|Субвенція з державного бюджету місцевим бюджетам на здійснення доплат педагогічним працівникам закладів загальної середньої освіти|,Освіта
41037200,"|Субвенція з державного бюджету місцевим бюджетам на забезпечення якісної, сучасної та доступної загальної середньої освіти ""Нова українська школа""|",Освіта
41037400,|Субвенція з державного бюджету місцевим бюджетам на покращення якості гарячого харчування та фінансування харчування учнів початкових класів закладів загальної середньої освіти|,Освіта
41037900,"|Субвенція з державного бюджету місцевим бюджетам на реалізацію публічного інвестиційного проекту «Безперешкодний доступ до якісної освіти - шкільні автобуси» за рахунок залишку коштів спеціального фонду державного бюджету, джерелом формування якого були кошти, отримані у 2024 році на рахунок  для задоволення потреб освіти і науки|",Освіта
41038000,"|Субвенція з державного бюджету місцевим бюджетам для забезпечення діяльності закладів культури та закладів освіти сфери культури, які постраждали внаслідок збройної агресії Російської Федерації проти України|",Освіта
41050300,|Субвенція з місцевого бюджету на забезпечення харчуванням учнів закладів загальної середньої освіти за рахунок відповідної субвенції з державного бюджету|,Освіта
41050700,"|Субвенція з місцевого бюджету на реалізацію публічного інвестиційного проекту на модернізацію та оновлення матеріально-технічної бази військових (військово-морських, військово-спортивних) ліцеїв, закладів освіти з посиленою військово-фізичною підготовкою за рахунок відповідної субвенції з державного бюджету|",Освіта
41051000,|Субвенція з місцевого бюджету на здійснення переданих видатків у сфері освіти за рахунок коштів освітньої субвенції|,Освіта
41051100,"|Субвенція з місцевого бюджету за рахунок залишку коштів освітньої субвенції, що утворився на початок бюджетного періоду|",Освіта
41051200,|Субвенція з місцевого бюджету на надання державної підтримки особам з особливими освітніми потребами за рахунок відповідної субвенції з державного бюджету|,Освіта
41051300,"|Субвенція з місцевого бюджету на реалізацію публічного інвестиційного проекту на модернізацію майстерень і лабораторій закладів професійної та фахової передвищої освіти, забезпечення енергоефективності, безпеки та інклюзивності освітнього простору за рахунок відповідної субвенції з державного бюджету|",Освіта
41051400,"|Субвенція з місцевого бюджету на забезпечення якісної, сучасної та доступної загальної середньої освіти ""Нова українська школа"" за рахунок відповідної субвенції з державного бюджету|",Освіта
41051700,"|Субвенція з місцевого бюджету за рахунок залишку коштів субвенції на надання державної підтримки особам з особливими освітніми потребами, що утворився на початок бюджетного періоду|",Освіта
41051800,"|Субвенція з місцевого бюджету на реалізацію публічного інвестиційного проекту «Безперешкодний доступ до якісної освіти - шкільні автобуси» за рахунок залишку коштів спеціального фонду державного бюджету, джерелом формування якого були кошти, отримані у 2024 році на рахунок для задоволення потреб освіти і науки, за рахунок відповідної  субвенції з державного бюджету|",Освіта
41055500,|Субвенція з місцевого бюджету на покращення якості гарячого харчування та фінансування харчування учнів початкових класів закладів загальної середньої освіти за рахунок відповідної субвенції з державного бюджету|,Освіта
41057800,"|Субвенція з місцевого бюджету на реалізацію публічного інвестиційного проекту на придбання обладнання, створення та модернізацію (проведення реконструкції та капітального ремонту) їдалень (харчоблоків) закладів освіти, зокрема військових (військово-морських, військово-спортивних) ліцеїв, ліцеїв із посиленою військово-фізичною підготовкою за рахунок відповідної субвенції з державного бюджету|",Освіта
41057900,"|Субвенція з місцевого бюджету на реалізацію публічного інвестиційного проекту на облаштування безпечних умов у закладах, що надають загальну середню освіту (протипожежний захист), зокрема військових (військово-морських, військово-спортивних) ліцеях, ліцеях із посиленою військово-фізичною підготовкою за рахунок відповідної субвенції з державного бюджету|",Освіта
41058900,|Субвенція з місцевого бюджету на реалізацію публічного інвестиційного проекту на безперешкодний доступ до якісної освіти - шкільні автобуси за рахунок відповідної субвенції з державного бюджету|,Освіта
41059000,"|Субвенція з місцевого бюджету на реалізацію публічного інвестиційного проекту на облаштування безпечних умов (облаштування укриттів) у закладах, що надають загальну середню освіту, зокрема військових (військово-морських, військово-спортивних) ліцеях, ліцеях із посиленою військово-фізичною підготовкою, та у закладах дошкільної освіти за рахунок відповідної субвенції з державного бюджету|",Освіта
41059600,|Субвенція з місцевого бюджету на забезпечення харчуванням учнів початкових класів закладів загальної середньої освіти за рахунок відповідної субвенції з державного бюджету|,Освіта
41059700,"|Субвенція з місцевого бюджету на реалізацію публічного інвестиційного проекту на забезпечення якісної, сучасної та доступної загальної середньої освіти ""Нова українська школа"" за рахунок відповідної субвенції з державного бюджету|",Освіта
41059800,|Субвенція з місцевого бюджету на здійснення доплат педагогічним працівникам закладів загальної середньої освіти за рахунок відповідної субвенції з державного бюджету|,Освіта
41030500,"|Субвенція з державного бюджету місцевим бюджетам на виплату грошової компенсації за належні для отримання жилі приміщення для внутрішньо переміщених осіб, які захищали незалежність, суверенітет та територіальну цілісність України і брали безпосередню участь в антитерористичній операції, забезпеченні її проведення, перебуваючи безпосередньо в районах антитерористичної операції у період її проведення, у здійсненні заходів із забезпечення національної безпеки і оборони, відсічі і стримування збройної агресії Російської Федерації у Донецькій та Луганській областях, забезпеченні їх здійснення, перебуваючи безпосередньо в районах та у період здійснення зазначених заходів, та визнані особами з інвалідністю внаслідок війни III групи відповідно до пунктів 11 - 14(""https://zakon.rada.gov.ua/rada/show/3551-12#n103"") частини другої статті 7 або учасниками бойових дій відповідно до пунктів 19 - 21(""https://zakon.rada.gov.ua/rada/show/3551-12#n73"") частини першої статті 6 Закону України ""Про статус ветеранів війни, гарантії їх соціального захисту"", та які потребують поліпшення житлових умов|",Соціальний захист
41030800,"|Субвенція з державного бюджету місцевим бюджетам на реалізацію публічного інвестиційного проекту із виплати грошової компенсації за належні для отримання жилі приміщення для сімей осіб, визначених пунктами 2 - 5(""https://zakon.rada.gov.ua/rada/show/3551-12#n659"") частини першої статті 10-1 Закону України ""Про статус ветеранів війни, гарантії їх соціального захисту"", для осіб з інвалідністю I - II групи, яка настала внаслідок поранення, контузії, каліцтва або захворювання, одержаних під час безпосередньої участі в антитерористичній операції, забезпеченні її проведення, здійсненні заходів із забезпечення національної безпеки і оборони, відсічі і стримування збройної агресії Російської Федерації у Донецькій та Луганській областях, забезпеченні їх здійснення, у заходах, необхідних для забезпечення оборони України, захисту безпеки населення та інтересів держави у зв'язку з військовою агресією Російської Федерації проти України, визначених пунктами 11 - 14(""https://zakon.rada.gov.ua/rada/show/3551-12#n103"") частини другої статті 7 Закону України ""Про статус ветеранів війни, гарантії їх соціального захисту"", та які потребують поліпшення житлових умов|",Соціальний захист
41030900,|Субвенція з державного бюджету місцевим бюджетам на реалізацію програми публічних інвестицій із забезпечення житлом дитячих будинків сімейного типу|,Соціальний захист
41031500,|Субвенція з державного бюджету бюджету Жовтоводської міської територіальної громади на виконання заходів щодо радіаційного та соціального захисту населення міста Жовтих Вод|,Соціальний захист
41032300,|Субвенція з державного бюджету місцевим бюджетам на формування фондів житла для тимчасового проживання або підтриманого проживання евакуйованих та внутрішньо переміщених осіб і заходів щодо забезпечення їх житлом у сільській місцевості|,Соціальний захист
41034300,|Субвенція з державного бюджету бюджету Харківської міської територіальної громади на аварійно-відновлювальні роботи житлово-комунальної сфери|,Соціальний захист
41034400,"|Субвенція з державного бюджету місцевим бюджетам на проектні, будівельно-ремонтні роботи, придбання житла та приміщень для розвитку сімейних та інших форм виховання, наближених до сімейних, підтримку малих групових будинків та забезпечення житлом дітей-сиріт, дітей, позбавлених батьківського піклування, осіб з їх числа|",Соціальний захист
41034500,|Субвенція з державного бюджету місцевим бюджетам на здійснення заходів щодо соціально-економічного розвитку окремих територій|,Соціальний захист
41034800,"|Субвенція з державного бюджету місцевим бюджетам на проектування, відновлення, будівництво, модернізацію, облаштування, ремонт об'єктів будівництва громадського призначення, соціальної сфери, культурної спадщини, житлово-комунального господарства, інших об'єктів, що мають вплив на життєдіяльність населення|",Соціальний захист
41035100,"|Субвенція з державного бюджету місцевим бюджетам на фінансування заходів соціально-економічної компенсації ризику населення, яке проживає на території зони спостереження  |",Соціальний захист
41035800,"|Субвенція з державного бюджету місцевим бюджетам на забезпечення діяльності фахівців із супроводу ветеранів війни та демобілізованих осіб та окремі заходи з підтримки осіб, які захищали незалежність, суверенітет та територіальну цілісність України|",Соціальний захист
41036100,"|Субвенція з державного бюджету місцевим бюджетам на виплату грошової компенсації за належні для отримання жилі приміщення для сімей осіб, визначених пунктами 2 - 5(""https://zakon.rada.gov.ua/rada/show/3551-12#n659"") частини першої статті 10-1 Закону України ""Про статус ветеранів війни, гарантії їх соціального захисту"", для осіб з інвалідністю I - II групи, яка настала внаслідок поранення, контузії, каліцтва або захворювання, одержаних під час безпосередньої участі в антитерористичній операції, забезпеченні її проведення, здійсненні заходів із забезпечення національної безпеки і оборони, відсічі і стримування збройної агресії Російської Федерації у Донецькій та Луганській областях, забезпеченні їх здійснення, у заходах, необхідних для забезпечення оборони України, захисту безпеки населення та інтересів держави у зв'язку з військовою агресією Російської Федерації проти України, визначених пунктами 11 - 14(""https://zakon.rada.gov.ua/rada/show/3551-12#n103"") частини другої статті 7 Закону України ""Про статус ветеранів війни, гарантії їх соціального захисту"", та які потребують поліпшення житлових умов|",Соціальний захист
41036400,"|Субвенція з державного бюджету місцевим бюджетам на виплату грошової компенсації за належні для отримання жилі приміщення для сімей учасників бойових дій на території інших держав, визначених у абзаці першому(""https://zakon.rada.gov.ua/rada/show/3551-12#n149"") пункту 1 статті 10 Закону України ""Про статус ветеранів війни, гарантії їх соціального захисту"", для осіб з інвалідністю I - II групи з числа учасників бойових дій на території інших держав, інвалідність яких настала внаслідок поранення, контузії, каліцтва або захворювання, пов'язаних з перебуванням у цих державах, визначених пунктом 7(""https://zakon.rada.gov.ua/rada/show/3551-12#n92"") частини другої статті 7 Закону України ""Про статус ветеранів війни, гарантії їх соціального захисту"", та які потребують поліпшення житлових умов|",Соціальний захист
41036600,"|Субвенція з державного бюджету місцевим бюджетам на компенсацію різниці в тарифах на теплову енергію, послуги з постачання теплової енергії та постачання гарячої води згідно із Законом України(""https://zakon.rada.gov.ua/rada/show/2479-20"") ""Про особливості регулювання відносин на ринку природного газу та у сфері теплопостачання під час дії воєнного стану та подальшого відновлення їх функціонування"", послуги з централізованого постачання холодної води та водовідведення (з використанням внутрішньобудинкових систем), послуги з централізованого водопостачання і централізованого водовідведення згідно із Законом України(""https://zakon.rada.gov.ua/rada/show/1730-19"") ""Про заходи, спрямовані на врегулювання заборгованості теплопостачальних та теплогенеруючих організацій та підприємств централізованого водопостачання і водовідведення""|",Соціальний захист
41036800,"|Субвенція з державного бюджету місцевим бюджетам на реалізацію проекту ""Ремонт житла для відновлення прав і можливостей людей (HOPE)""|",Соціальний захист
41037800,|Субвенція з державного бюджету місцевим бюджетам на реалізацію публічного інвестиційного проекту із розвитку ветеранських просторів|,Соціальний захист
41050100,|Субвенція з місцевого бюджету на реалізацію програми публічних інвестицій із забезпечення житлом дитячих будинків сімейного типу за рахунок відповідної субвенції з державного бюджету|,Соціальний захист
41050200,"|Субвенція з місцевого бюджету на реалізацію публічного інвестиційного проекту із виплати грошової компенсації за належні для отримання жилі приміщення для сімей осіб, визначених пунктами 2 - 5(""https://zakon.rada.gov.ua/rada/show/3551-12#n659"") частини першої статті 10-1 Закону України ""Про статус ветеранів війни, гарантії їх соціального захисту"", для осіб з інвалідністю I - II групи, яка настала внаслідок поранення, контузії, каліцтва або захворювання, одержаних під час безпосередньої участі в антитерористичній операції, забезпеченні її проведення, здійсненні заходів із забезпечення національної безпеки і оборони, відсічі і стримування збройної агресії Російської Федерації у Донецькій та Луганській областях, забезпеченні їх здійснення, у заходах, необхідних для забезпечення оборони України, захисту безпеки населення та інтересів держави у зв'язку з військовою агресією Російської Федерації проти України, визначених пунктами 11 - 14(""https://zakon.rada.gov.ua/rada/show/3551-12#n103"") частини другої статті 7 Закону України ""Про статус ветеранів війни, гарантії їх соціального захисту"", та які потребують поліпшення житлових умов, за рахунок відповідної субвенції з державного бюджету|",Соціальний захист
41050400,"|Субвенція з місцевого бюджету на виплату грошової компенсації за належні для отримання жилі приміщення для сімей осіб, визначених пунктами 2 - 5(""https://zakon.rada.gov.ua/rada/show/3551-12#n659"") частини першої статті 10-1 Закону України ""Про статус ветеранів війни, гарантії їх соціального захисту"", для осіб з інвалідністю I - II групи, яка настала внаслідок поранення, контузії, каліцтва або захворювання, одержаних під час безпосередньої участі в антитерористичній операції, забезпеченні її проведення, здійсненні заходів із забезпечення національної безпеки і оборони, відсічі і стримування збройної агресії Російської Федерації у Донецькій та Луганській областях, забезпеченні їх здійснення, у заходах, необхідних для забезпечення оборони України, захисту безпеки населення та інтересів держави у зв'язку з військовою агресією Російської Федерації проти України, визначених пунктами 11 - 14(""https://zakon.rada.gov.ua/rada/show/3551-12#n103"") частини другої статті 7 Закону України ""Про статус ветеранів війни, гарантії їх соціального захисту"", та які потребують поліпшення житлових умов за рахунок відповідної субвенції з державного бюджету|",Соціальний захист
41050500,"|Субвенція з місцевого бюджету на виплату грошової компенсації за належні для отримання жилі приміщення для сімей учасників бойових дій на території інших держав, визначених у абзаці першому(""https://zakon.rada.gov.ua/rada/show/3551-12#n149"") пункту 1 статті 10 Закону України ""Про статус ветеранів війни, гарантії їх соціального захисту"", для осіб з інвалідністю I - II групи з числа учасників бойових дій на території інших держав, інвалідність яких настала внаслідок поранення, контузії, каліцтва або захворювання, пов'язаних з перебуванням у цих державах, визначених пунктом 7(""https://zakon.rada.gov.ua/rada/show/3551-12#n92"") частини другої статті 7 Закону України ""Про статус ветеранів війни, гарантії їх соціального захисту"", та які потребують поліпшення житлових умов за рахунок відповідної субвенції з державного бюджету|",Соціальний захист
41050600,"|Субвенція з місцевого бюджету на виплату грошової компенсації за належні для отримання жилі приміщення для внутрішньо переміщених осіб, які захищали незалежність, суверенітет та територіальну цілісність України і брали безпосередню участь в антитерористичній операції, забезпеченні її проведення, перебуваючи безпосередньо в районах антитерористичної операції у період її проведення, у здійсненні заходів із забезпечення національної безпеки і оборони, відсічі і стримування збройної агресії Російської Федерації у Донецькій та Луганській областях, забезпеченні їх здійснення, перебуваючи безпосередньо в районах та у період здійснення зазначених заходів, та визнані особами з інвалідністю внаслідок війни III групи відповідно до пунктів 11 - 14(""https://zakon.rada.gov.ua/rada/show/3551-12#n103"") частини другої статті 7 або учасниками бойових дій відповідно до пунктів 19 - 21(""https://zakon.rada.gov.ua/rada/show/3551-12#n73"") частини першої статті 6 Закону України ""Про статус ветеранів війни, гарантії їх соціального захисту"", та які потребують поліпшення житлових умов за рахунок відповідної субвенції з державного бюджету|",Соціальний захист
41050800,"|Субвенція з місцевого бюджету на фінансування заходів соціально-економічної компенсації ризику населення, яке проживає на території зони спостереження, за рахунок відповідної субвенції з державного бюджету|",Соціальний захист
41050900,"|Субвенція з місцевого бюджету на проектні, будівельно-ремонтні роботи, придбання житла та приміщень для розвитку сімейних та інших форм виховання, наближених до сімейних, підтримку малих групових будинків та забезпечення житлом дітей-сиріт, дітей, позбавлених батьківського піклування, осіб з їх числа за рахунок відповідної субвенції з державного бюджету|",Соціальний захист
41051500,|Субвенція з місцевого бюджету на формування фондів житла для тимчасового проживання або підтриманого проживання евакуйованих та внутрішньо переміщених осіб і заходів щодо забезпечення їх житлом у сільській місцевості за рахунок відповідної субвенції з державного бюджету|,Соціальний захист
41052900,"|Субвенція з місцевого бюджету на компенсацію різниці в тарифах на теплову енергію, послуги з постачання теплової енергії та постачання гарячої води згідно із Законом України(""https://zakon.rada.gov.ua/rada/show/2479-20"") ""Про особливості регулювання відносин на ринку природного газу та у сфері теплопостачання під час дії воєнного стану та подальшого відновлення їх функціонування"", послуги з централізованого постачання холодної води та водовідведення (з використанням внутрішньобудинкових систем), послуги з централізованого водопостачання і централізованого водовідведення згідно із Законом України(""https://zakon.rada.gov.ua/rada/show/1730-19"") ""Про заходи, спрямовані на врегулювання заборгованості теплопостачальних та теплогенеруючих організацій та підприємств централізованого водопостачання і водовідведення"" за рахунок відповідної субвенції з державного бюджету|",Соціальний захист
41054100,"|Субвенція  з місцевого бюджету на здійснення заходів щодо соціально-економічного розвитку окремих територій за рахунок залишку коштів відповідної субвенції з державного бюджету, що утворився на початок бюджетного періоду|",Соціальний захист
41055400,"|Субвенція з місцевого бюджету на реалізацію публічного інвестиційного проекту із розвитку ветеранських просторів, за рахунок відповідної субвенції з державного бюджету|",Соціальний захист
41059200,"|Субвенція з місцевого бюджету на проектування, відновлення, будівництво, модернізацію, облаштування, ремонт об'єктів будівництва громадського призначення, соціальної сфери, культурної спадщини, житлово-комунального господарства, інших об'єктів, що мають вплив на життєдіяльність населення, за рахунок відповідної субвенції з державного бюджету|",Соціальний захист
41059300,"|Субвенція з місцевого бюджету на забезпечення діяльності фахівців із супроводу ветеранів війни та демобілізованих осіб та окремі заходи з підтримки осіб, які захищали незалежність, суверенітет та територіальну цілісність України, за рахунок відповідної субвенції з державного бюджету|",Соціальний захист
41059400,"|Субвенція з місцевого бюджету на реалізацію проекту ""Ремонт житла для відновлення прав і можливостей людей (HOPE)"" за рахунок відповідної субвенції з державного бюджету|",Соціальний захист
