Айді громади,Назва громади,[41010100] Реверсна дотація,[41020100] Базова дотація,[41020200] На здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я,"[41020300] На функціонування територій, на яких ведуться бойові дії",[41020400] Додаткові дотації з державного бюджету місцевим бюджетам (загальна),[41020800] Бюджету Славутицької міської територіальної громади на утримання соціальної інфраструктури,[41021000] На компенсацію втрат доходів внаслідок пільг суб’єктам космічної діяльності,[41021200] Обласним бюджетам Донецької та Луганської областей на усунення наслідків ескалації,"[41021300] На компенсацію комунальним закладам, переданим на фінансування з місцевих бюджетів",[41021400] На здійснення повноважень органів самоврядування на деокупованих та інших територіях,Сума Базова,Сума Реверсна,Сума Додаткові
2055300000,Солоницівська,0.0,44196400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17652300.0,44196400.0,0.0,17652300.0
2051500000,Старовірівська,0.0,25558600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721400.0,25558600.0,0.0,721400.0
2050100000,Старосалтівська,0.0,18930900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35564000.0,18930900.0,0.0,35564000.0
2055400000,Харківська,0.0,0.0,0.0,0.0,0.0,0.0,310116900.0,0.0,0.0,2197775700.0,0.0,0.0,2507892600.0
2051600000,Циркунівська,0.0,22009400.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,27279000.0,22009400.0,0.0,27280700.0
2055500000,Чугуївська,0.0,61479400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231143100.0,61479400.0,0.0,231143100.0
2055600000,Шевченківська,0.0,29666600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31495400.0,29666600.0,0.0,31495400.0
2152200000,Іванівська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45013900.0,0.0,0.0,45013900.0
2150200000,Асканія-Нова,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16602100.0,0.0,0.0,16602100.0
2153400000,Бериславська,0.0,38327700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19720800.0,38327700.0,0.0,19720800.0
2151900000,Бехтерська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25669400.0,0.0,0.0,25669400.0
2151700000,Борозенська,0.0,6785300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19161200.0,6785300.0,0.0,19161200.0
2151600000,Білозерська,0.0,46304800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38500500.0,46304800.0,0.0,38500500.0
2150700000,Великокопанівська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15133500.0,0.0,0.0,15133500.0
2153500000,Великолепетиська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37744900.0,0.0,0.0,37744900.0
2153600000,Великоолександрівська,0.0,29462800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33822200.0,29462800.0,0.0,33822200.0
2153700000,Верхньорогачицька,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23244200.0,0.0,0.0,23244200.0
2151300000,Виноградівська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13667200.0,0.0,0.0,13667200.0
2151800000,Високопільська,0.0,21055200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26079500.0,21055200.0,0.0,26079500.0
2153800000,Генічеська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57262500.0,0.0,0.0,57262500.0
2152900000,Голопристанська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55508900.0,0.0,0.0,55508900.0
2151400000,Горностаївська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44740400.0,0.0,0.0,44740400.0
2153900000,Дар'ївська,0.0,37139400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13750200.0,37139400.0,0.0,13750200.0
2152500000,Долматівська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14723800.0,0.0,0.0,14723800.0
2150600000,Зеленопідська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22295100.0,0.0,0.0,22295100.0
2150300000,Каланчацька,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48688400.0,0.0,0.0,48688400.0
2154000000,Калинівська,0.0,7203700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14698600.0,7203700.0,0.0,14698600.0
2154100000,Каховська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116627000.0,0.0,0.0,116627000.0
2152100000,Костянтинівська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13068500.0,0.0,0.0,13068500.0
2150100000,Кочубеївська,0.0,4094200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6903200.0,4094200.0,0.0,6903200.0
2154200000,Лазурненська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23170200.0,0.0,0.0,23170200.0
2152400000,Любимівська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19718300.0,0.0,0.0,19718300.0
2153000000,Милівська,0.0,15976200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21379400.0,15976200.0,0.0,21379400.0
2150400000,Мирненська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8955100.0,0.0,0.0,8955100.0
