Кластер,Сума Базова,Сума Реверсна,Сума Додаткові,Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я,Авто-Опис
0,7794223.0,0.0,3868.0,0.0,38895248.0,-0.0,Середня базова дотація
1,81.0,372.0,6911.0,0.0,154165762.0,12533245.0,Стандартна субсидована громада
2,43.0,-0.0,40.0,-0.0,18.0,-0.0,Майже нульова освіта (можливо окупація)
3,3479296.0,0.0,3285631.0,0.0,26834569.0,-0.0,Середня базова дотація
4,2.0,1618276.0,108228.0,0.0,53568384.0,0.0,Середній реверс
5,14768.0,6.0,14597.0,0.0,35880561.0,0.0,Стандартна субсидована громада
6,1772.0,361.0,43801.0,12090948.0,114351294.0,0.0,Фокус на відновлення (великі суми)
