Код громади,Назва громади,Вид кластеризації,Рік,Кластер,Відстань до центроїда
2351100000,Мліївська,Пул (Математичний),2022,0,1.2460159522085998
2350300000,Мокрокалигірська,Пул (KMeans),2022,2,0.38154245717842744
2350300000,Мокрокалигірська,Пул (Математичний),2022,0,1.2733522338309051
2356900000,Монастирищенська,Пул (KMeans),2022,2,0.6110631851652486
2356900000,Монастирищенська,Пул (Математичний),2022,0,1.2642074090054958
2357000000,Мошнівська,Пул (KMeans),2022,2,0.4892069965726807
2357000000,Мошнівська,Пул (Математичний),2022,0,1.2269181601736314
2350600000,Набутівська,Пул (KMeans),2022,2,0.4350830734444526
2350600000,Набутівська,Пул (Математичний),2022,0,1.2682668107651152
2357100000,Новодмитрівська,Пул (KMeans),2022,2,1.7944939891206848
2357100000,Новодмитрівська,Пул (Математичний),2022,0,2.345231436041893
2352000000,Паланська,Пул (KMeans),2022,0,1.0904106562481501
2352000000,Паланська,Пул (Математичний),2022,1,0.7188673462109498
2357200000,Піщанська,Пул (KMeans),2022,2,0.37652589810145903
2357200000,Піщанська,Пул (Математичний),2022,0,1.2284419444985089
2350800000,Ротмістрівська,Пул (KMeans),2022,2,0.39395879700213887
2350800000,Ротмістрівська,Пул (Математичний),2022,0,1.2208271778141242
2354600000,Руськополянська,Пул (KMeans),2022,2,0.3673008049694596
2354600000,Руськополянська,Пул (Математичний),2022,0,1.2059184276254018
2354700000,Сагунівська,Пул (KMeans),2022,2,0.4246617305028948
2354700000,Сагунівська,Пул (Математичний),2022,0,1.253511630059302
2350700000,Селищенська,Пул (KMeans),2022,2,0.47820828157458434
2350700000,Селищенська,Пул (Математичний),2022,0,1.2738817161301987
2355100000,Слобідська,Пул (KMeans),2022,2,1.7926103919175382
2355100000,Слобідська,Пул (Математичний),2022,0,2.342369725593697
2357300000,Смілянська,Пул (KMeans),2022,2,0.6118541471681812
2357300000,Смілянська,Пул (Математичний),2022,0,1.2719815554928784
2350500000,Стеблівська,Пул (KMeans),2022,2,1.8096524559927059
2350500000,Стеблівська,Пул (Математичний),2022,0,2.3589760312625567
2351000000,Степанецька,Пул (KMeans),2022,0,0.8458136789168049
2351000000,Степанецька,Пул (Математичний),2022,1,0.2955583466459218
2352100000,Степанківська,Пул (KMeans),2022,2,0.27955493973352014
2352100000,Степанківська,Пул (Математичний),2022,0,1.2346201355882325
2350400000,Тальнівська,Пул (KMeans),2022,2,0.42162409521764477
2350400000,Тальнівська,Пул (Математичний),2022,0,1.222384683437923
2354900000,Тернівська,Пул (KMeans),2022,2,0.5549138198716748
2354900000,Тернівська,Пул (Математичний),2022,0,1.3015325773173443
2357400000,Уманська,Пул (KMeans),2022,2,1.8507468544622878
2357400000,Уманська,Пул (Математичний),2022,0,2.3815263130020226
2357500000,Христинівська,Пул (KMeans),2022,2,0.3562536861501583
2357500000,Христинівська,Пул (Математичний),2022,0,1.222839045331812
2357600000,Черкаська,Пул (KMeans),2022,0,1.1907145643613826
2357600000,Черкаська,Пул (Математичний),2022,1,0.9334235334173384
2355200000,Чигиринська,Пул (KMeans),2022,2,0.36477520339328434
2355200000,Чигиринська,Пул (Математичний),2022,0,1.2070168501025478
2357700000,Чорнобаївська,Пул (KMeans),2022,2,1.7980446907989474
2357700000,Чорнобаївська,Пул (Математичний),2022,0,2.3449830194896744
2355300000,Шевченківська,Пул (KMeans),2022,2,0.5524402925865307
2355300000,Шевченківська,Пул (Математичний),2022,0,1.3078461033583557
2350900000,Шполянська,Пул (KMeans),2022,2,1.8169029565287345
2350900000,Шполянська,Пул (Математичний),2022,0,2.3574530976972214
2357800000,Шрамківська,Пул (KMeans),2022,2,0.3799776677302773
2357800000,Шрамківська,Пул (Математичний),2022,0,1.2108698102990665
2551500000,Іванівська,Пул (KMeans),2022,2,0.4313759528824753
2551500000,Іванівська,Пул (Математичний),2022,0,1.230030847621838
2552400000,Ічнянська,Пул (KMeans),2022,2,1.796456265279773
2552400000,Ічнянська,Пул (Математичний),2022,0,2.344051110015286
2550600000,Батуринська,Пул (KMeans),2022,2,1.8044270887295157
2550600000,Батуринська,Пул (Математичний),2022,0,2.3544309125987706
2555100000,Бахмацька,Пул (KMeans),2022,2,1.8067911101718823
2555100000,Бахмацька,Пул (Математичний),2022,0,2.3505808552605854
2555200000,Березнянська,Пул (KMeans),2022,2,0.46970411591236816
2555200000,Березнянська,Пул (Математичний),2022,0,1.2427697332332444
2552100000,Бобровицька,Пул (KMeans),2022,0,0.9717942014602062
2552100000,Бобровицька,Пул (Математичний),2022,1,0.5432525036713743
2554000000,Борзнянська,Пул (KMeans),2022,2,0.3578705552985178
2554000000,Борзнянська,Пул (Математичний),2022,0,1.2073854368039716
2553500000,Варвинська,Пул (KMeans),2022,0,0.7921179336813952
2553500000,Варвинська,Пул (Математичний),2022,1,0.0
2550100000,Вертіївська,Пул (KMeans),2022,2,0.35447546009454073
2550100000,Вертіївська,Пул (Математичний),2022,0,1.2247163498981726
2553400000,Височанська,Пул (KMeans),2022,2,0.4675005032249492
2553400000,Височанська,Пул (Математичний),2022,0,1.2621059536091004
2551100000,Гончарівська,Пул (KMeans),2022,0,0.9076203494053343
2551100000,Гончарівська,Пул (Математичний),2022,1,0.4143629964453792
2553600000,Городнянська,Пул (KMeans),2022,2,0.4739083778574637
2553600000,Городнянська,Пул (Математичний),2022,0,1.2230916526759126
2550200000,Деснянська,Пул (KMeans),2022,0,0.8180449304923427
2550200000,Деснянська,Пул (Математичний),2022,1,0.1907074489093756
2555300000,Дмитрівська,Пул (KMeans),2022,2,0.39830566476971674
2555300000,Дмитрівська,Пул (Математичний),2022,0,1.3048501832381363
2554600000,Добрянська,Пул (KMeans),2022,2,0.3437684881191616
2554600000,Добрянська,Пул (Математичний),2022,0,1.2534766751351338
2554700000,Киселівська,Пул (KMeans),2022,2,1.8265741562063504
2554700000,Киселівська,Пул (Математичний),2022,0,2.3733069964627878
2554200000,Киїнська,Пул (KMeans),2022,2,0.4163543807549554
2554200000,Киїнська,Пул (Математичний),2022,0,1.233502676397496
2551800000,Козелецька,Пул (KMeans),2022,2,1.7964751840069837
2551800000,Козелецька,Пул (Математичний),2022,0,2.344061900744746
2551900000,Комарівська,Пул (KMeans),2022,2,1.8227870143734484
2551900000,Комарівська,Пул (Математичний),2022,0,2.370131540648874
2551200000,Коропська,Пул (KMeans),2022,2,0.3944190920843584
2551200000,Коропська,Пул (Математичний),2022,0,1.2092440374092115
2550700000,Корюківська,Пул (KMeans),2022,2,1.7981596182184314
2550700000,Корюківська,Пул (Математичний),2022,0,2.345052156230955
2555400000,Крутівська,Пул (KMeans),2022,2,0.5039014368703931
2555400000,Крутівська,Пул (Математичний),2022,0,1.2789119175688022
2552500000,Куликівська,Пул (KMeans),2022,2,0.3456532841752508
2552500000,Куликівська,Пул (Математичний),2022,0,1.2034981209916
2550300000,Кіптівська,Пул (KMeans),2022,2,0.4084534436353496
2550300000,Кіптівська,Пул (Математичний),2022,0,1.2455549731787028
2555500000,Ладанська,Пул (KMeans),2022,2,0.4729471604813464
2555500000,Ладанська,Пул (Математичний),2022,0,1.253232143316025
2553700000,Линовицька,Пул (KMeans),2022,2,1.8270480539982414
2553700000,Линовицька,Пул (Математичний),2022,0,2.373703461200731
2551300000,Лосинівська,Пул (KMeans),2022,2,0.43978797807111947
2551300000,Лосинівська,Пул (Математичний),2022,0,1.2321672815593463
2552700000,Любецька,Пул (KMeans),2022,2,0.3896495345093144
2552700000,Любецька,Пул (Математичний),2022,0,1.258312452776535
2550400000,Макіївська,Пул (KMeans),2022,0,0.9730514236203449
2550400000,Макіївська,Пул (Математичний),2022,1,0.522467803234002
2552600000,Малодівицька,Пул (KMeans),2022,2,1.8424230172476677
2552600000,Малодівицька,Пул (Математичний),2022,0,2.3864874089155093
2551700000,Менська,Пул (KMeans),2022,2,0.41039240600509114
2551700000,Менська,Пул (Математичний),2022,0,1.2170164297319988
2551400000,Михайло-Коцюбинська,Пул (KMeans),2022,2,0.2664205734466258
2551400000,Михайло-Коцюбинська,Пул (Математичний),2022,0,1.200411588175057
2551600000,Мринська,Пул (KMeans),2022,2,0.33640198084259376
2551600000,Мринська,Пул (Математичний),2022,0,1.2671034132817065
2553900000,Новгород-Сіверська,Пул (KMeans),2022,2,0.4038986438189987
2553900000,Новгород-Сіверська,Пул (Математичний),2022,0,1.2122188236368714
2552000000,Новобасанська,Пул (KMeans),2022,0,0.8840280279527812
2552000000,Новобасанська,Пул (Математичний),2022,1,0.3502653619312613
2554100000,Новобілоуська,Пул (KMeans),2022,2,1.7928002527750417
2554100000,Новобілоуська,Пул (Математичний),2022,0,2.3423615220808696
2550800000,Носівська,Пул (KMeans),2022,2,0.45934953608067014
2550800000,Носівська,Пул (Математичний),2022,0,1.2217201453521356
2553800000,Ніжинська,Пул (KMeans),2022,2,0.45003318688266425
2553800000,Ніжинська,Пул (Математичний),2022,0,1.2502934619447807
2553300000,Олишівська,Пул (KMeans),2022,0,1.1035617584251878
2553300000,Олишівська,Пул (Математичний),2022,1,0.7263400594695019
2550900000,Остерська,Пул (KMeans),2022,2,0.4265281533537171
2550900000,Остерська,Пул (Математичний),2022,0,1.2256075118325376
2550500000,Парафіївська,Пул (KMeans),2022,0,0.9385093199761592
2550500000,Парафіївська,Пул (Математичний),2022,1,0.46097048234668536
2552200000,Плисківська,Пул (KMeans),2022,2,0.6013372717733686
2552200000,Плисківська,Пул (Математичний),2022,0,1.42367542802236
2554800000,Понорницька,Пул (KMeans),2022,2,0.44711811078014974
2554800000,Понорницька,Пул (Математичний),2022,0,1.2338722347319548
2555600000,Прилуцька,Пул (KMeans),2022,0,0.8224418999341087
2555600000,Прилуцька,Пул (Математичний),2022,1,0.26022418841532546
2555700000,Ріпкинська,Пул (KMeans),2022,2,0.3960195323302184
2555700000,Ріпкинська,Пул (Математичний),2022,0,1.2124616988189012
2555800000,Седнівська,Пул (KMeans),2022,2,0.694764230809919
2555800000,Седнівська,Пул (Математичний),2022,0,1.37055122859347
2552800000,Семенівська,Пул (KMeans),2022,2,0.3713379776036058
2552800000,Семенівська,Пул (Математичний),2022,0,1.2064062202159214
2551000000,Сновська,Пул (KMeans),2022,2,0.42893178227283785
2551000000,Сновська,Пул (Математичний),2022,0,1.2167169531120798
2552900000,Сосницька,Пул (KMeans),2022,2,0.4156336358678931
2552900000,Сосницька,Пул (Математичний),2022,0,1.2135430803802973
2553000000,Срібнянська,Пул (KMeans),2022,0,0.8388565475170356
2553000000,Срібнянська,Пул (Математичний),2022,1,0.23487013517934888
2554900000,Сухополов'янська,Пул (KMeans),2022,2,0.34880832103129433
2554900000,Сухополов'янська,Пул (Математичний),2022,0,1.2067027778369896
2555000000,Талалаївська,Пул (KMeans),2022,2,0.4437278271330517
2555000000,Талалаївська,Пул (Математичний),2022,0,1.2446539870480535
2552300000,Тупичівська,Пул (KMeans),2022,2,0.5380523323329419
2552300000,Тупичівська,Пул (Математичний),2022,0,1.4039601562390387
2553200000,Холминська,Пул (KMeans),2022,2,0.4750252192935792
2553200000,Холминська,Пул (Математичний),2022,0,1.2671764007248894
